shipment_id,date,year,month,month_number,quarter,origin,destination,route,mode,hs_code,product_description,weight_kg,weight_tonnes,value_usd,shipment_value_million,status,bill_of_lading,shipper,consignee,remarks,Delay_Time(hrs),delay_days,Delay_Reason,delay_flag,delay_status
ADGF-2025325,2023-01-01,2023,January,1,1,"Mumbai, India","Los Angeles, USA","Mumbai, India → Los Angeles, USA",Sea,85423900,Processed spices (ground),1570.0,1.57,10601.19,0.01060119,Cancelled,BOL2696578371,A & D International,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028568,2023-01-01,2023,January,1,1,"Hamburg, Germany","Kolkata, India","Hamburg, Germany → Kolkata, India",Sea,Unknown,LED lamps,1051.8,1.0517999999999998,19620.13,0.01962013,Pending Pickup,BOL2558001972,TransIndia Cargo,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028796,2023-01-01,2023,January,1,1,"Dubai, UAE","London, UK","Dubai, UAE → London, UK",Sea,85171200,Ceramic tiles,1151.7,1.1517,5960.18,0.005960180000000001,Delivered,BOL4678746749,A & D International,HomeStyle Furnitures,Manual verification completed,0.0,0.0,No Delay,False,On Time
ADGF-2029659,2023-01-01,2023,January,1,1,"Sydney, Australia","Chennai, India","Sydney, Australia → Chennai, India",Air,85423900,Printed circuit boards,438.0,0.438,82917.72,0.08291772,Delivered,BOL4286792282,Sunrise Exports,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2030052,2023-01-01,2023,January,1,1,"Kochi, India","New York, USA","Kochi, India → New York, USA",Sea,10063010,Textile rolls (cotton),954.6,0.9546,33696.73,0.03369673,Delivered,BOL5108308075,A & D International,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2031119,2023-01-01,2023,January,1,1,"Los Angeles, USA","New Delhi, India","Los Angeles, USA → New Delhi, India",Sea,8109090,Smartphone units,889.4,0.8894,93245.72,0.09324572,Customs Hold,BOL6408466513,Oceanic Logistics Co.,FreshFarms Importers,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2032435,2023-01-01,2023,January,1,1,"Rotterdam, Netherlands","Rotterdam, Netherlands","Rotterdam, Netherlands → Rotterdam, Netherlands",Sea,39232990,Plastic granules,1712.6,1.7126,4090.35,0.0040903499999999995,Delivered,BOL4380978856,Sunrise Exports,Unknown (invoice),No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2027269,2023-01-02,2023,January,1,1,"Seattle, USA","Melbourne, Australia","Seattle, USA → Melbourne, Australia",Sea,30049099,Textile rolls (cotton),463.8,0.4638,4650.34,0.00465034,Delivered,BOL6730621989,Sunrise Exports,Techtronica Pvt. Ltd.,Routine shipment,0.0,0.0,No Delay,False,On Time
ADGF-2027854,2023-01-02,2023,January,1,1,"Shenzhen, China","London, UK","Shenzhen, China → London, UK",Sea,7020010,Ceramic tiles,2540.8,2.5408000000000004,9317.85,0.00931785,Delivered,BOL8028112807,Oceanic Logistics Co.,ABC Importers Pvt. Ltd.,No Remarks,0.0,0.0,No Delay,False,On Time
ADGF-2028827,2023-01-02,2023,January,1,1,"Mumbai, India","New Delhi, India","Mumbai, India → New Delhi, India",Sea,10063010,Wheat flour,3858.8,3.8588,888.24,0.00088824,Delivered,BOL1921446057,A & D Global Freight Pvt. Ltd.,Unknown (trade database),No Remarks,0.0,0.0,No Delay,False,On Time
